NFat,Data,CliID,Pais,QTD,Valor,Mes,Ano,Status
548370,2021-03-30 16:14:00,15528.0,United Kingdom,123.0,229.33,3,2021,Completo
575767,2021-11-11 11:11:00,17348.0,United Kingdom,163.0,209.73,11,2021,Completo
C570727,2021-10-12 11:32:00,12471.0,Germany,145.0,1.45,10,2021,Completo
549106,2021-04-06 12:08:00,17045.0,United Kingdom,1.0,39.95,4,2021,Completo
573112,2021-10-27 15:33:00,16416.0,United Kingdom,357.0,344.83,10,2021,Completo
576630,2021-11-16 08:38:00,13816.0,Germany,91.0,199.98,11,2021,Completo
538125,2020-12-09 15:46:00,18225.0,United Kingdom,16.0,30.0,12,2020,Completo
544354,2021-02-18 10:42:00,13489.0,United Kingdom,64.0,77.28,2,2021,Completo
546369,2021-03-11 11:41:00,15513.0,United Kingdom,10.0,67.5,3,2021,Completo
570651,2021-10-11 13:34:00,14911.0,EIRE,86.0,321.35,10,2021,Completo
C543628,2021-02-10 15:51:00,16558.0,United Kingdom,145.0,9.25,2,2021,Completo
539736,2020-12-21 15:18:00,,United Kingdom,143.0,1172.46,12,2020,Incompleto
537823,2020-12-08 14:25:00,,United Kingdom,1484.0,6073.71,12,2020,Incompleto
575581,2021-11-10 11:53:00,12659.0,France,105.0,91.68,11,2021,Completo
580987,2021-12-06 16:35:00,17389.0,United Kingdom,96.0,720.0,12,2021,Completo
543754,2021-02-11 14:26:00,18159.0,United Kingdom,139.0,530.15,2,2021,Completo
542418,2021-01-27 17:39:00,,United Kingdom,145.0,0.0,1,2021,Incompleto
C553508,2021-05-17 13:44:00,14000.0,United Kingdom,145.0,1.95,5,2021,Completo
563233,2021-08-14 15:56:00,17988.0,United Kingdom,1.0,2.95,8,2021,Completo
545417,2021-03-02 13:42:00,15622.0,United Kingdom,222.0,576.0,3,2021,Completo
C577693,2021-11-21 11:48:00,12628.0,Germany,145.0,16.85,11,2021,Completo
550759,2021-04-20 12:09:00,,United Kingdom,145.0,0.0,4,2021,Incompleto
C547309,2021-03-22 11:17:00,17416.0,United Kingdom,145.0,45.0,3,2021,Completo
556427,2021-06-10 13:23:00,,United Kingdom,92.0,435.69,6,2021,Incompleto
C555404,2021-06-02 18:28:00,17231.0,United Kingdom,145.0,19.9,6,2021,Completo
576571,2021-11-15 13:48:00,12950.0,United Kingdom,164.0,311.6,11,2021,Completo
550623,2021-04-19 13:56:00,13719.0,United Kingdom,78.0,132.9,4,2021,Completo
576083,2021-11-14 08:22:00,17404.0,Sweden,1060.0,1238.48,11,2021,Completo
562417,2021-08-04 16:32:00,,United Kingdom,526.0,1691.38,8,2021,Incompleto
570733,2021-10-12 11:33:00,17190.0,United Kingdom,160.0,249.74,10,2021,Completo
537026,2020-12-03 16:35:00,12395.0,Belgium,528.0,346.1,12,2020,Completo
552837,2021-05-11 14:24:00,12901.0,United Kingdom,72.0,140.04,5,2021,Completo
C579925,2021-12-01 09:16:00,15544.0,United Kingdom,145.0,2.55,12,2021,Completo
550535,2021-04-19 11:19:00,14211.0,United Kingdom,72.0,155.6,4,2021,Completo
555213,2021-06-01 12:22:00,13094.0,United Kingdom,144.0,152.64,6,2021,Completo
549923,2021-04-13 09:59:00,13138.0,United Kingdom,72.0,193.62,4,2021,Completo
575198,2021-11-09 09:47:00,12921.0,United Kingdom,19.0,71.25,11,2021,Completo
C549986,2021-04-13 16:03:00,18178.0,United Kingdom,145.0,7.5,4,2021,Completo
569005,2021-09-29 18:30:00,16268.0,United Kingdom,465.0,493.76,9,2021,Completo
566307,2021-09-12 09:37:00,14307.0,United Kingdom,323.0,656.23,9,2021,Completo
539049,2020-12-15 16:21:00,15615.0,United Kingdom,364.0,1048.64,12,2020,Completo
549684,2021-04-11 13:24:00,,United Kingdom,1.0,30.0,4,2021,Incompleto
580068,2021-12-01 13:41:00,17321.0,United Kingdom,5.0,41.25,12,2021,Completo
542745,2021-01-31 16:47:00,15881.0,United Kingdom,154.0,339.29,1,2021,Completo
575525,2021-11-10 11:06:00,13983.0,United Kingdom,72.0,128.88,11,2021,Completo
C562884,2021-08-10 11:25:00,14056.0,United Kingdom,145.0,9.75,8,2021,Completo
C560842,2021-07-21 12:25:00,14527.0,United Kingdom,145.0,12.15,7,2021,Completo
542936,2021-02-02 11:10:00,,United Kingdom,144.0,161.56,2,2021,Incompleto
565682,2021-09-06 10:42:00,14796.0,United Kingdom,467.0,835.95,9,2021,Completo
C562514,2021-08-05 12:20:00,13408.0,United Kingdom,145.0,11.95,8,2021,Completo
562220,2021-08-03 14:19:00,15150.0,United Kingdom,108.0,304.42,8,2021,Completo
562002,2021-08-01 13:48:00,14567.0,United Kingdom,172.0,800.76,8,2021,Completo
C561210,2021-07-25 16:58:00,17841.0,United Kingdom,145.0,12.5,7,2021,Completo
C545502,2021-03-03 11:33:00,15078.0,United Kingdom,145.0,19.5,3,2021,Completo
538010,2020-12-09 12:20:00,17526.0,United Kingdom,40.0,226.8,12,2020,Completo
579089,2021-11-28 10:46:00,17920.0,United Kingdom,58.0,111.11,11,2021,Completo
560713,2021-07-20 13:09:00,16774.0,United Kingdom,56.0,160.8,7,2021,Completo
571098,2021-10-13 15:38:00,17841.0,United Kingdom,200.0,437.43,10,2021,Completo
574994,2021-11-08 11:03:00,17870.0,United Kingdom,62.0,143.11,11,2021,Completo
570257,2021-10-10 09:56:00,13767.0,United Kingdom,129.0,380.31,10,2021,Completo
541669,2021-01-20 12:29:00,17315.0,United Kingdom,172.0,331.76,1,2021,Completo
C560687,2021-07-20 11:51:00,14606.0,United Kingdom,145.0,23.37,7,2021,Completo
C569891,2021-10-06 15:46:00,13924.0,United Kingdom,145.0,65.09,10,2021,Completo
552404,2021-05-09 12:39:00,15932.0,United Kingdom,262.0,305.02,5,2021,Completo
566035,2021-09-08 13:17:00,12839.0,United Kingdom,286.0,413.58,9,2021,Completo
576911,2021-11-17 10:01:00,17461.0,United Kingdom,342.0,349.2,11,2021,Completo
572272,2021-10-21 16:18:00,13171.0,United Kingdom,60.0,132.54,10,2021,Completo
577783,2021-11-21 16:20:00,18139.0,United Kingdom,1644.0,2786.4,11,2021,Completo
578757,2021-11-25 11:41:00,12748.0,United Kingdom,256.0,420.41,11,2021,Completo
C553557,2021-05-17 17:03:00,13266.0,United Kingdom,145.0,3.2,5,2021,Completo
542351,2021-01-27 12:13:00,14560.0,United Kingdom,39.0,152.25,1,2021,Completo
558245,2021-06-27 16:28:00,,United Kingdom,8.0,0.0,6,2021,Incompleto
C578090,2021-11-22 17:03:00,12483.0,Sweden,145.0,80.0,11,2021,Completo
559164,2021-07-06 16:39:00,16422.0,United Kingdom,406.0,587.46,7,2021,Completo
578150,2021-11-23 11:18:00,16020.0,United Kingdom,10.0,16.5,11,2021,Completo
558770,2021-07-03 15:19:00,12748.0,United Kingdom,60.0,115.55,7,2021,Completo
C569552,2021-10-04 17:44:00,14533.0,United Kingdom,145.0,84.0,10,2021,Completo
C550646,2021-04-19 16:32:00,16873.0,United Kingdom,145.0,14.4,4,2021,Completo
C571329,2021-10-17 11:32:00,17706.0,United Kingdom,145.0,50.8,10,2021,Completo
C544557,2021-02-21 12:31:00,17422.0,United Kingdom,145.0,55.35,2,2021,Completo
C539277,2020-12-16 15:37:00,15777.0,United Kingdom,145.0,25.5,12,2020,Completo
C577731,2021-11-21 13:06:00,17811.0,United Kingdom,145.0,11.7,11,2021,Completo
580386,2021-12-04 10:29:00,18065.0,United Kingdom,50.0,188.9,12,2021,Completo
C553866,2021-05-19 14:14:00,14620.0,United Kingdom,145.0,19.5,5,2021,Completo
570252,2021-10-10 09:14:00,14665.0,United Kingdom,238.0,559.52,10,2021,Completo
536782,2020-12-02 15:18:00,17567.0,United Kingdom,244.0,517.95,12,2020,Completo
C544594,2021-02-21 16:58:00,15079.0,United Kingdom,145.0,1.95,2,2021,Completo
571082,2021-10-13 15:25:00,,United Kingdom,479.0,1354.71,10,2021,Incompleto
551984,2021-05-05 14:37:00,15841.0,United Kingdom,234.0,281.66,5,2021,Completo
C554931,2021-05-27 13:21:00,17841.0,United Kingdom,145.0,5.0,5,2021,Completo
564476,2021-08-25 12:57:00,12610.0,Italy,168.0,309.5,8,2021,Completo
540353,2021-01-06 14:53:00,13764.0,United Kingdom,282.0,499.89,1,2021,Completo
558706,2021-07-01 12:52:00,16839.0,United Kingdom,320.0,416.96,7,2021,Completo
566278,2021-09-11 14:05:00,13614.0,United Kingdom,67.0,302.15,9,2021,Completo
540477,2021-01-07 14:49:00,13233.0,United Kingdom,404.0,304.24,1,2021,Completo
569695,2021-10-05 15:35:00,16843.0,United Kingdom,938.0,993.88,10,2021,Completo
C556920,2021-06-15 13:49:00,13047.0,United Kingdom,145.0,13.85,6,2021,Completo
C543469,2021-02-08 14:55:00,12709.0,Germany,145.0,83.98,2,2021,Completo
538308,2020-12-10 13:29:00,14107.0,United Kingdom,268.0,363.24,12,2020,Completo
549054,2021-04-06 10:21:00,17719.0,United Kingdom,109.0,312.19,4,2021,Completo
555626,2021-06-06 11:55:00,16103.0,United Kingdom,92.0,270.8,6,2021,Completo
C572343,2021-10-24 10:40:00,14607.0,United Kingdom,145.0,2949.28,10,2021,Completo
C558530,2021-06-30 11:26:00,15039.0,United Kingdom,145.0,17.0,6,2021,Completo
